"","id","X","Y","Z","Spit","Level","Code","Sitio","Area","Lot","Materia","Classe","Fragmentacao_Artefacto","Cortex","Peso","Espessura","Largura","Comprimento","Alteracao","Fogo","N_Esquirolas","Tipo_Retocado","Notas"
"835","H19-3751",119.688003540039,127.212997436523,23.9930000305176,"5","5","BUCKET","VB",TRUE,"LOT-317","Grauvaque","Esquírola",NA,NA,0,0,0,0,"Nenhuma",NA,9,NA,NA
"836","H19-3752",119.928001403809,127.290000915527,24.0450000762939,"5","5","LITHIC","VB",TRUE,"LOT-316","Silex","Fragmento produto alongado","Outro","0%",0,1.98,6.76,0,"Nenhuma",NA,NA,NA,NA
"837","H19-3757",119.633003234863,127.105003356934,24,"5","5","LITHIC","VB",TRUE,"LOT-317","Grauvaque","Fragmento",NA,NA,2,0,0,0,"Nenhuma",NA,NA,NA,NA
"838","H19-3758",119.981002807617,127.078002929688,24.1580009460449,"5","5","LITHIC","VB",TRUE,"LOT-317","Grauvaque","Fragmento",NA,NA,5,0,0,0,"Nenhuma",NA,NA,NA,NA
"839","H19-3759",119.974998474121,127.361999511719,24.1200008392334,"5","5","LITHIC","VB",TRUE,"LOT-317","Grauvaque","Fragmento",NA,NA,7,0,0,0,"Nenhuma",NA,NA,NA,NA
"840","H19-3760",119.972999572754,127.255996704102,24.2189998626709,"5","5","LITHIC","VB",TRUE,"LOT-316","Silex","Produto retocado",NA,"0%",1,4,11.76,31.33,"Nenhuma",NA,NA,"Lamela retocada",NA
"841","H19-3761",119.945999145508,127.259002685547,24.068000793457,"5","5","LITHIC","VB",TRUE,"LOT-316","Silex","Lasca",NA,"0%",2,8.73,17.58,19.35,"Nenhuma",NA,NA,NA,NA
"842","H19-3762",119.932998657227,127.146003723145,24.0499992370605,"5","5","LITHIC","VB",TRUE,"LOT-316","Grauvaque","Fragmento",NA,NA,8,0,0,0,"Nenhuma",NA,NA,NA,NA
"843","H19-3763",119.879997253418,127.16300201416,24.0109996795654,"5","5","BUCKET","VB",TRUE,"LOT-317","Grauvaque","Esquírola",NA,NA,0,0,0,0,"Nenhuma",NA,5,NA,NA
"844","H19-3763",119.879997253418,127.16300201416,24.0109996795654,"5","5","BUCKET","VB",TRUE,"LOT-317","Silex","Esquírola",NA,NA,0,0,0,0,"Nenhuma",NA,2,NA,NA
"845","H19-3767",119.143997192383,127.371002197266,23.9500007629395,"6","5","LITHIC","VB",TRUE,"LOT-316","Grauvaque","Fragmento Lasca","Proximal","0%",1,7.44,10.82,0,"Nenhuma",NA,NA,NA,NA
"846","H19-3769",119.08699798584,127.96199798584,23.9449996948242,"6","5","LITHIC","VB",TRUE,"LOT-316","Silex","Fragmento Lasca","Proximal","0%",2,6.49,15.11,0,"Nenhuma",NA,NA,NA,NA
"847","H19-3771",119.25700378418,127.494003295898,23.9230003356934,"6","5","LITHIC","VB",TRUE,"LOT-316","Silex","Lasca",NA,"0%",2,5.57,15.34,25.08,"Nenhuma",NA,NA,NA,NA
"848","H19-3772",119.309997558594,127.803001403809,23.9790000915527,"6","5","LITHIC","VB",TRUE,"LOT-316","Grauvaque","Fragmento",NA,NA,48,0,0,0,"Nenhuma",NA,NA,NA,NA
"849","H19-3773",119.13500213623,127.585998535156,23.9540004730225,"6","5","BUCKET","VB",TRUE,"LOT-317","Silex","Esquírola",NA,NA,0,0,0,0,"Nenhuma",NA,5,NA,NA
"850","H19-3773",119.13500213623,127.585998535156,23.9540004730225,"6","5","BUCKET","VB",TRUE,"LOT-317","Grauvaque","Esquírola",NA,NA,0,0,0,0,"Nenhuma",NA,3,NA,NA
"851","H19-3776",119.148002624512,127.017997741699,23.9440002441406,"6","5","LITHIC","VB",TRUE,"LOT-316","Silex","Produto retocado",NA,"0%",4,7.04,18.13,31.92,"Nenhuma",NA,NA,"Lasca retocada",NA
